item,field,raw_value,assigned_id,instances,verdict,matched_id
1,Treatment,cp-81518,OOV-X-09B6284ABD,1,appropriate,
2,Treatment,KIN001-055 1.11µM,OOV-X-72BFCA9F2C,39,appropriate,
3,Treatment,pacritinib,OOV-X-08D9A4D577,1,appropriate,
4,Treatment,SJE2A066,OOV-X-39D3A8A877,1,appropriate,
5,Treatment,cp-70309,OOV-X-B3431FFA55,1,appropriate,
6,Condition,AdenoCa,OOV-C-2AA52AC531,9,inappropriate,D000230
7,Condition,BRCA2 'one-hit' mutant,OOV-C-0AAA00359B,12,appropriate,
8,Treatment,cp-61413,OOV-X-EE55FC7465,1,appropriate,
9,Condition,"AML with t(8; 16), therapy-related",OOV-C-2A59AA74DF,1,inappropriate,D015470
10,Treatment,cp-80197,OOV-X-8C21379AFD,1,appropriate,
11,Condition,aspirin resistant,OOV-C-C3FA8217EF,8,appropriate,
12,Treatment,cp-59293,OOV-X-A0A0CF5317,1,appropriate,
13,Tissue,MDA-HNS-073,OOV-T-4D46A4B83D,1,indeterminate,
14,Condition,follicular_carcinoma,OOV-C-C3DF455D0F,4,inappropriate,D018263
15,Condition,head and neck cancer cells,OOV-C-AE7A3CFA53,4,inappropriate,D006258
16,Treatment,recombinant cytokines IFNg and TNFa,OOV-X-BB07CF0D80,2,appropriate,
17,Condition,Ctrl Normoxia,OOV-C-64B341F379,3,appropriate,
18,Treatment,cp-70797,OOV-X-BEE731A34E,1,appropriate,
19,Treatment,high n3 level tertile; low sfa/pufa ratio tertile; middle n6 level tertile,OOV-X-A470484992,1,appropriate,
20,Treatment,smoker; 30-day mean pm2.5 exposure level: 7.68651,OOV-X-6DB91CBA4E,1,appropriate,
21,Condition,CD40 activated,OOV-C-6BC9C6ECB9,3,appropriate,
22,Treatment,cp-3038,OOV-X-DDD6C38D4F,1,appropriate,
23,Treatment,vehicle; NOTCH1 shRNA,OOV-X-47032BB9C8,2,appropriate,
24,Treatment,Low Meal Frequency (t=24),OOV-X-4707665693,7,appropriate,
25,Condition,cT3N0M0; pT1N0,OOV-C-0EBB5EDFB9,4,appropriate,
26,Tissue,rhesus monkey kidney cell,OOV-T-44A3FEDC42,2,inappropriate,D007668
27,Treatment,10.4483um,OOV-X-9E54474D2D,1,appropriate,
28,Treatment,cp-79352,OOV-X-8C7047FE4B,1,appropriate,
29,Treatment,START_013003 serum,OOV-X-00A7390923,1,appropriate,
30,Treatment,T1DAL_01010340 serum,OOV-X-E4AACF7FE6,1,appropriate,
31,Treatment,cp-69716,OOV-X-92CD72E598,1,appropriate,
32,Treatment,pre-miR-210,OOV-X-6DD4FCB9A1,4,appropriate,
33,Condition,Rhinovirus infection (hRV),OOV-C-80B636970F,91,appropriate,
34,Treatment,cp-79476,OOV-X-4892F85671,1,appropriate,
35,Treatment,cp-52806,OOV-X-A629C4847B,1,appropriate,
36,Treatment,shSMARCB1-1,OOV-X-FF8F8CFA9B,2,appropriate,
37,Treatment,cp-54116,OOV-X-C27E203497,1,appropriate,
38,Condition,LPS activation,OOV-C-D670FB54D2,5,appropriate,
39,Treatment,transient transfection: mouse SMYD2,OOV-X-D4C48B3476,1,appropriate,
40,Treatment,vandetanib 0.12µM,OOV-X-41BB4BDD43,34,appropriate,
41,Condition,healthy nonsmokers,OOV-C-81A2D9CA61,42,appropriate,
42,Treatment,R848; PF-06426779,OOV-X-DB2DF9F235,3,appropriate,
43,Treatment,cp-956,OOV-X-0A4CE87EC2,1,appropriate,
44,Treatment,4-OHT; FUW-CMV-NTCF-ERT2 (NET),OOV-X-C319251592,1,appropriate,
45,Condition,Tonsil squamous cell carcinoma; mucositis grade: 2,OOV-C-F707498CC6,10,inappropriate,D014067
46,Treatment,shScramble lentivirus,OOV-X-BA2E4DA679,1,appropriate,
47,Treatment,CF060 plasma,OOV-X-11EE50E222,1,appropriate,
48,Treatment,activating (antiCD3+antiCD28)+IL12+antiIL4,OOV-X-210B9F267C,4,appropriate,
49,Treatment,CB916 5microM,OOV-X-F14D04A22F,3,appropriate,
50,Treatment,TPM,ART-X-31365,9,indeterminate,
51,Treatment,5.5mM+Met+Hyp,OOV-X-E38CC42D54,2,appropriate,
52,Treatment,cp-79572,OOV-X-B300F4A5FD,1,appropriate,
53,Treatment,cp-34181,OOV-X-FB6CDAFC10,1,appropriate,
54,Treatment,CH5424802 0.12µM,OOV-X-0D1F4B1E5E,34,appropriate,
55,Treatment,co-cultured with: T47D,OOV-X-3FE10DE502,5,appropriate,
56,Treatment,pcDNA3.1-GFP,OOV-X-F22AD3AB19,1,appropriate,
57,Tissue,Occular Adnexa MALT lymphoma,OOV-T-043877F4B3,1,appropriate,
58,Treatment,cp-63862,OOV-X-BD6A8405D9,1,appropriate,
59,Treatment,WeightRegainer,OOV-X-8EACFA03AD,11,appropriate,
60,Treatment,siLam,ART-X-28625,1,appropriate,
61,Condition,NSCLC; erlotinib resistant; EMT,OOV-C-7338416B0E,1,inappropriate,D002289
62,Treatment,bmi <25,OOV-X-931E865287,27,appropriate,
63,Treatment,WZ-3105 0.04µM,OOV-X-FE462044DD,49,appropriate,
64,Treatment,XMD-892 0.04µM,OOV-X-E05B3C6817,38,appropriate,
65,Treatment,late proliferative cycle stage,OOV-X-84DDB99F8C,20,appropriate,
66,Condition,"obese; insulin-resistant, non-diabetic",OOV-C-DC23CEDB22,12,inappropriate,D009765
