item,field,raw_value,assigned_id,instances
1,Treatment,siLincSTXBP5,OOV-X-AF45DBF418,3
2,Tissue,GBM 104,OOV-T-3EFC8929F5,2
3,Condition,Endometrioid,OOV-C-2AA1B93977,3
4,Treatment,cp-61482,OOV-X-0E3F04BD7B,1
5,Treatment,MDA-MB-231 exosomes that have a Dicer antibody inside,OOV-X-394FFA8660,1
6,Treatment,MDM2_p.S221C,OOV-X-3AD9D093E8,2
7,Condition,MCT8 mutation,OOV-C-3DCF37D5FB,12
8,Treatment,miR-196b overexpressing,OOV-X-7DC6A3E05B,3
9,Condition,MIXED; Grade 3,OOV-C-318EEEE4A7,2
10,Condition,HER2 positive metastatic breast cancer,OOV-C-5D29D31894,59
11,Treatment,1.0625um,OOV-X-7C1B74017C,1
12,Treatment,smoker; 30-day mean pm2.5 exposure level: 8.17597,OOV-X-0766BF728F,1
13,Treatment,0.01% carvacrol for 15 minutes,OOV-X-1C00D945A0,1
14,Tissue,TestiGermCell,OOV-T-616B4E471B,1
15,Condition,AH; LCIS,OOV-C-AF34311229,1
16,Treatment,pReceiver-M11 containing mutated CARD14sh_L150R,OOV-X-BC1CB9E923,1
17,Treatment,BYL719 and GSK2334470,OOV-X-6150BA6199,6
18,Condition,Weight Stable,OOV-C-C0C8DCA1A7,7
19,Treatment,cp-79609,OOV-X-27C336AABE,1
20,Tissue,Rectal cancer tissue,OOV-T-5CEE69680B,2
21,Condition,HIV-1 subtype C infected; HIV seropositive on therapy immunolgical failure (ART-IF),OOV-C-4DDA0EF74F,2
22,Treatment,CDH13 U,OOV-X-A92530A9B7,4
23,Treatment,cp-31889,OOV-X-6D8F435475,1
24,Treatment,A293G expression,OOV-X-EBB3782DEB,1
25,Condition,AOD,ART-C-01821,28
26,Treatment,cp-50951,OOV-X-95250F108C,1
27,Treatment,cp-69849,OOV-X-7767FBD1AB,1
28,Treatment,oral cs; hcq,OOV-X-0970E34211,106
29,Treatment,TNF/IL17; IL13 stimulation,OOV-X-4B9AF3B0F3,4
30,Treatment,cp-33645,OOV-X-08350CD363,1
31,Condition,Tumorcore,OOV-C-212D3D9E9C,6
32,Treatment,FAT10 overexpressed,OOV-X-31041359A9,3
33,Condition,Adenocarcinoma-prostate; metastatic site: bone; Androgen independent and unresponsive to hormone therapy,OOV-C-7A6832028D,1
34,Tissue,Biceps Brachii,OOV-T-7ECA3B3264,27
35,Treatment,chelerythrine chloride 0.04µM,OOV-X-5EACB9CF6D,40
36,Treatment,IL17A,ART-X-06270,7
37,Condition,CLL; complete response (CR),OOV-C-32017C7147,1
38,Condition,pFAS,ART-C-01689,12
39,Tissue,nasopharyngeal carcinoma,OOV-T-886E83556C,27
40,Condition,prostate; grade IV,OOV-C-B582AC53D3,4
41,Treatment,RIP140 siRNA#3; 10 uM retinoic acid (RA),OOV-X-2DDC5A114D,1
42,Treatment,HKSA,ART-X-00074,14
43,Treatment,3 µM CyclosporinA,OOV-X-C1B43799D0,3
44,Treatment,cp-33523,OOV-X-F87A229F4C,1
45,Treatment,H5N1-infected; pEGZ-transfected (empty vector),OOV-X-8331BA7D1C,3
46,Treatment,GMCSF and LL37-DNA,OOV-X-EB714E3A60,3
47,Treatment,20% Jp5,OOV-X-FF8063AF94,1
48,Treatment,chronic HCV infection,OOV-X-994733F38D,5
49,Treatment,non-targeting siRNA (siNT),OOV-X-F8F4A54322,3
50,Treatment,cp-59724,OOV-X-271486DBC7,1
51,Treatment,INK-128 0.37µM,OOV-X-438D57278C,33
52,Treatment,GFP vector,OOV-X-C0EDF6087F,9
53,Condition,ComonNevus,OOV-C-76FC25E9A7,5
54,Treatment,24h LPS 25pg LPS 1ng 4h,OOV-X-0796841A08,3
55,Treatment,AcPIM2,OOV-X-49125118B7,1
56,Tissue,transplanted DLBCL tissue,OOV-T-CA95E8150E,2
57,Tissue,neofascia,OOV-T-0FA8AC34BF,17
58,Treatment,Foxa 1 Adenovirus,OOV-X-F831D4E16A,1
59,Treatment,cp-458,OOV-X-52F0D9A99D,1
60,Treatment,cp-81214,OOV-X-D4CB5465B7,1
61,Treatment,"in vitro hepatogenic regimen; DMEM supplemented with 2% FBS, 4.9mM nicotinamide, 20ng/ml hepatocyte growth factor, and 10ng/ml fibroblast growth factor beta; DMEM supplemented with 2% FBS, 4.9mM nicotinamdie and 20ng/ml oncostatin M",OOV-X-EE9FD943A4,2
62,Treatment,dox_d3,OOV-X-89563221B2,2
63,Treatment,cp-82137,OOV-X-46126B3B91,1
64,Tissue,CCR6+ CD4+ T cells,OOV-T-6CDAD12ECE,12
65,Treatment,EglN2 shRNA; Doxycycline,OOV-X-DB7C996860,2
66,Tissue,SPC04 human neural stem cell line; fetal spinal cord,OOV-T-3219213859,2
67,Treatment,cp-69736,OOV-X-5495001671,1
68,Treatment,shEcad,OOV-X-C5E169777B,6
69,Treatment,cp-37662,OOV-X-463B4E6C62,1
70,Treatment,cp-33517,OOV-X-E190F645B4,1
71,Treatment,UC13 Plasma,OOV-X-3B4874EE65,1
72,Condition,PDD-NOS; learning disability; bipolar; ADD,OOV-C-3EAE93D2D9,1
73,Treatment,Gamabufatalin_1μM,OOV-X-784BE87DF0,2
74,Treatment,amuvatinib 3.33µM,OOV-X-6E3A3DC0F8,35
75,Treatment,NNI-1 (AFG1133-1),OOV-X-0A605C3575,1
76,Treatment,shmiRNA integration; miR-122 ko,OOV-X-C6387CF70D,3
77,Condition,RV16,ART-C-05830,4
78,Condition,invasive ductal; ct stage: 3; tumor grade: 1,OOV-C-D155C31B81,1
79,Tissue,retinal pigment epithelium cell line RPE-5,OOV-T-EB3BA00702,1
80,Treatment,iniparib 0.04µM,OOV-X-95364D879C,36
81,Treatment,cp-59864,OOV-X-FFEFDDE9B3,1
82,Treatment,cp-31341,OOV-X-6925C1F7CB,1
83,Treatment,cp-5261,OOV-X-B84B7FCA5B,1
84,Treatment,HSF1 siRNA,OOV-X-90889FA380,6
85,Treatment,N1100197,OOV-X-BDAC853850,1
86,Treatment,cp-3788,OOV-X-79A384F10D,1
87,Condition,aGVHD; AML (M2),OOV-C-A556523CA0,10
88,Treatment,SPOP F133L,OOV-X-B98B1E8526,2
89,Treatment,cp-33544,OOV-X-288C4F4839,1
90,Tissue,Secondary xenograft; LX22,OOV-T-612FBE4385,1
91,Treatment,cp-81470,OOV-X-B25A22A2AC,1
92,Treatment,Asoprisnil_10_25,OOV-X-C20C946949,1
93,Treatment,cp-50031,OOV-X-36B79542DA,1
94,Treatment,BMH-22,OOV-X-13D4C11690,4
95,Treatment,KIN001-220 3.33µM,OOV-X-72899F32E0,38
96,Condition,SLE; apl; lac; sga,OOV-C-529029E3D8,1
97,Treatment,hypoxia; sulindac,OOV-X-99C3607F34,2
98,Treatment,cp-52250,OOV-X-851C3802FC,1
99,Treatment,cp-58895,OOV-X-F3663F868F,1
100,Condition,Cisplatin-resistant; ovarian adenocarcinoma,OOV-C-0191A7EAC1,4
101,Treatment,cp-51846,OOV-X-26E3A28C3B,1
102,Condition,nontreated,OOV-C-D415CF5FB3,8
103,Treatment,cp-63816,OOV-X-C886E2F9FA,1
104,Treatment,MEOX2 siRNA knocked down,OOV-X-95480C7C89,1
105,Treatment,high concentration welding fume,OOV-X-AC6BCECE9D,6
106,Treatment,0.647216um,OOV-X-9BF36F9D7F,1
107,Condition,ADC,ART-C-02212,43
108,Condition,Normal-cerebelum,OOV-C-084D549295,1
109,Treatment,cp-50161,OOV-X-7ADDA800C4,1
110,Condition,NSCLC; malignant neoplasm of lower lobe of lung; primary tumor; Stage: IA; malign,OOV-C-48953680D4,1
111,Tissue,NA20803 cell line,OOV-T-95EAC5E3C0,3
112,Treatment,current smoking,OOV-X-F2226D4210,17
113,Treatment,IL17A_100_ng_ml,OOV-X-28FBB59D30,5
114,Tissue,cardiovascular progenitors,OOV-T-CC1A9B1527,2
115,Treatment,cp-43068,OOV-X-5B34B20163,1
116,Condition,ABO incompatible (ABOi); HLA incompatible DSA positive,OOV-C-B9EA1ED1D6,8
117,Condition,malignant neoplasm of overlapping lesion of breast; Stage: IV; G2; malign,OOV-C-4C1DBDC805,1
118,Condition,tolerogenic DCs,OOV-C-6BABB24ED8,9
119,Treatment,cp-4978,OOV-X-EEA20BE5BB,1
120,Treatment,PD-173074 3.33µM,OOV-X-5EC1518559,73
121,Treatment,AntiCD40+Il4,OOV-X-B53F41787C,2
122,Condition,Bone Metastatic,OOV-C-067BD846B6,4
123,Treatment,mutated cdkn2a status,OOV-X-84098C6069,8
124,Tissue,USPC-1,OOV-T-164D944B96,4
125,Treatment,cp-81636,OOV-X-C437D1842F,1
126,Treatment,21.145um,OOV-X-852EC9C19C,1
127,Treatment,olaparib 3.33µM,OOV-X-25961F8FFD,77
128,Treatment,chemo; tamoxifen; herceptin,OOV-X-FCFA1D7701,7
129,Condition,RSV; Mild,OOV-C-21A43CD9AE,8
130,Treatment,geldanamycin 1000nM 6h,OOV-X-EB625A3261,7
131,Condition,normal thyroid,OOV-C-BD9F0AA780,44
132,Treatment,isatuximab,OOV-X-7BC680FC10,2
133,Treatment,shRNA targeting DICER1; VEGF-A,OOV-X-E0076156D2,2
134,Condition,deficiencies for IRF7; influenza virus A/CA/4/2009,OOV-C-71EF0A1D61,1
135,Treatment,Hypoxia_20h,OOV-X-A0407AC72E,3
136,Condition,late tumor,OOV-C-04D1EC0979,3
137,Condition,healthy nasal carrier,OOV-C-DFA56B5114,5
138,Treatment,cp-79174,OOV-X-BE7E51E82D,1
139,Treatment,siRNA SCR,OOV-X-4FCFB5FFAC,2
140,Treatment,cp-33654,OOV-X-5FC3500884,1
141,Treatment,intermediate PH disease state,OOV-X-3C4B19DCC2,38
142,Tissue,Iliac crest bone marrow; Memory B-cells,OOV-T-A0B33AC384,2
143,Treatment,CF4256 plasma,OOV-X-D2B78E54FE,1
144,Treatment,cp-50591,OOV-X-A311DB7A70,1
145,Condition,"ALCL, ALK+; Lymphoma",OOV-C-330F1D1A0F,3
146,Condition,Pre-clamp,OOV-C-ED9D6A3C12,6
147,Tissue,colorectal cancer organoid,OOV-T-32E51F4D1D,14
148,Treatment,A/WSN/33,OOV-X-811ADEC2BE,3
149,Treatment,childhood sexual/physical abuse moderate to extreme: Yes; treatment for depression: No; treatment for posttraumatic stress disorder: No,OOV-X-CF7A0E6781,3
150,Condition,Pancreatic (pancreatic endoderm),OOV-C-63B8F4E46E,2
151,Treatment,cp-80328,OOV-X-969F5A9CB3,1
152,Treatment,"aza (10 nM, 1 day)",OOV-X-2950A1EC66,3
153,Treatment,cp-50385,OOV-X-3B2E84F649,1
154,Condition,CT3bN0M0,OOV-C-C458BB9EE5,1
155,Tissue,EREBmT,OOV-T-74DF21AEFE,6
156,Treatment,cp-43983,OOV-X-D6397DB3D9,1
157,Treatment,5ng Dox,OOV-X-89F20E879B,8
158,Treatment,cp-5195,OOV-X-3706F70057,1
159,Tissue,C45-4SR,OOV-T-678EC850B8,3
160,Tissue,CD36+ EPCs,OOV-T-92103479F7,15
161,Treatment,MYC siRNA,OOV-X-0B571AAB03,9
162,Condition,reference sample,OOV-C-91DAB2BFDD,5
163,Treatment,RO2676 plasma,OOV-X-E9B3CC9574,1
164,Treatment,Piperine (1 µg/mL); IL-1β (1ng/mL),OOV-X-3F4A4867F3,2
165,Treatment,AZD-5438 10µM,OOV-X-A43DA750DF,68
166,Treatment,10nM E2 for 72 hours; 10nM estrogen for 16hrs,OOV-X-D1B8C69FF0,2
167,Treatment,RO246; IL1RA,OOV-X-0BB3DDD571,1
168,Treatment,AX4966 (SX0083AC63),OOV-X-C9E772D88F,1
169,Condition,"AML with t(8; 21), AML1-ETO",OOV-C-D839F501C6,13
170,Treatment,cp-50270,OOV-X-302C16B55E,1
171,Tissue,Yolk Sac Tumor,OOV-T-CA4C297A2C,13
172,Treatment,FOXM1 shRNA,OOV-X-3712549968,6
173,Tissue,DS-AMKL cell line,OOV-T-D4AA095C2C,2
174,Treatment,cp-60724,OOV-X-4AFF07C91E,1
175,Treatment,"CD28, PMA, AEB, 071",OOV-X-8128B6D3EE,2
176,Treatment,miR-211 transfection,OOV-X-2B1C56E7FD,1
177,Treatment,masitinib 0.12µM,OOV-X-E865B0562A,34
178,Treatment,Recent Onset T1D RO253 plasma,OOV-X-1D767004B7,1
179,Treatment,cp-33973,OOV-X-FD08EEBB3C,1
180,Tissue,Human Umbilical cord vein endothelial cells,OOV-T-12661EA3CF,4
181,Treatment,MEB55,ART-X-03554,4
182,Treatment,anacardic-acid 0.37µM,OOV-X-12F84DE0C2,40
183,Treatment,cp-80591,OOV-X-C8AAB5BED0,1
184,Treatment,pRS-sh-FOXO1 plasmid,OOV-X-F1361E4D7B,1
185,Condition,cT4N0M0,OOV-C-452B384D74,1
186,Treatment,cabozantinib 10µM,OOV-X-7F79B31729,38
187,Treatment,siControl; 10nM R1881,OOV-X-1B18EEAE2C,2
188,Treatment,CSF-1 alone according to Lonza Blue Kit OCP protocol (33 ng/ml CSF1 and 66 ng/ml RANKL for 72h),OOV-X-689E6ED8B5,1
189,Treatment,SAR-245408 0.12µM,OOV-X-E84A272FE0,57
190,Condition,primary prostate cancer; T3bN0; Gleason Score: 8,OOV-C-BCB5F645E1,11
191,Condition,deficiencies for UNC93B; infected with: influenza virus A/CA/4/2009,OOV-C-49C42EF245,2
192,Condition,cT3N0M0,OOV-C-DEEEFCFC2B,27
193,Treatment,cp-53507,OOV-X-202C31C3C0,1
194,Treatment,middle n3 level tertiles; low sfa/pufa ratio tertiles; middle n6 level tertiles,OOV-X-15FB92D860,1
195,Condition,SIRS; Cellulitis,OOV-C-CE9BB6C64F,1
196,Treatment,DN-GRHL2 lentivirus infected; Dox,OOV-X-53928C225A,6
197,Tissue,MDA-HNS-045,OOV-T-B5AF5CBA48,1
198,Treatment,CF043 plasma,OOV-X-47DB3B5879,1
199,Treatment,hTERT; E7,OOV-X-5D6F2C1269,1
200,Condition,Alkylosing spondylitis; Squamous cell carcinoma of the lung; Non-small cell carcinoma; Squamous cell carcinoma,OOV-C-E1CC1BEBEB,1
201,Treatment,DUSP1 siRNA knocked down,OOV-X-03E25FCAB9,1
202,Treatment,LIF (50ng/ml),OOV-X-BCAB522F80,1
203,Treatment,cp-461,OOV-X-0ACB3A6D6D,1
204,Treatment,cp-31818,OOV-X-DC7CE8D186,1
205,Condition,Smouldering,OOV-C-288AA2DB3E,203
206,Treatment,cp-81073,OOV-X-265D8EDB18,1
207,Tissue,PBL,ART-T-00419,809
208,Treatment,KRASv12,OOV-X-CDF2E2FFBD,3
