label,error_class,gsm,raw_label,detail
Condition,branch_violation,GSM1430437,alcohol,D000428
Condition,branch_violation,GSM1430438,alcohol,D000428
Condition,branch_violation,GSM1430439,stress,D013315
Condition,branch_violation,GSM1430440,stress,D013315
Condition,branch_violation,GSM1430441,stress,D013315
Condition,branch_violation,GSM1430443,stress,D013315
Condition,branch_violation,GSM1430444,stress,D013315
Condition,branch_violation,GSM1430449,alcohol,D000428
Condition,branch_violation,GSM1430450,alcohol,D000428
Condition,branch_violation,GSM1430452,alcohol,D000428
Condition,branch_violation,GSM1430453,alcohol,D000428
Condition,branch_violation,GSM1430454,stress,D013315
Condition,branch_violation,GSM1430455,stress,D013315
Condition,branch_violation,GSM1430456,stress,D013315
Condition,branch_violation,GSM1430463,stress,D013315
Condition,branch_violation,GSM1430464,stress,D013315
Condition,branch_violation,GSM1430465,stress,D013315
Condition,branch_violation,GSM1430467,alcohol,D000428
Condition,branch_violation,GSM1430468,alcohol,D000428
Condition,branch_violation,GSM1430470,alcohol,D000428
Condition,branch_violation,GSM1430471,alcohol,D000428
Condition,branch_violation,GSM1430473,stress,D013315
Condition,branch_violation,GSM1430474,stress,D013315
Condition,branch_violation,GSM1430479,alcohol,D000428
Condition,branch_violation,GSM1430480,alcohol,D000428
Condition,oov_recoverable,GSM2837297,Waldenstrom’s macroglobulinemia,D008258
Condition,oov_recoverable,GSM2837298,Waldenstrom’s macroglobulinemia,D008258
Condition,oov_recoverable,GSM2837299,Waldenstrom’s macroglobulinemia,D008258
Condition,oov_recoverable,GSM2837300,Waldenstrom’s macroglobulinemia,D008258
Condition,oov_recoverable,GSM2837301,Waldenstrom’s macroglobulinemia,D008258
Condition,oov_recoverable,GSM2837302,Waldenstrom’s macroglobulinemia,D008258
Condition,oov_recoverable,GSM2837303,Waldenstrom’s macroglobulinemia,D008258
Condition,oov_recoverable,GSM2837304,Waldenstrom’s macroglobulinemia,D008258
Condition,oov_recoverable,GSM1122691,Intellectual_Disability,D008607
Condition,oov_recoverable,GSM992019,non-hodgkin’s lymphoma,D008228
Condition,oov_recoverable,GSM992029,non-hodgkin’s lymphoma,D008228
Condition,oov_recoverable,GSM1361179,Keloid,D007627
Condition,oov_recoverable,GSM1361180,Keloid,D007627
Condition,oov_recoverable,GSM1361181,Keloid,D007627
Condition,oov_recoverable,GSM1361182,Keloid,D007627
Condition,oov_recoverable,GSM1361183,Keloid,D007627
Condition,oov_recoverable,GSM1361184,Keloid,D007627
Condition,oov_recoverable,GSM4568957,Hypertrophic scar,D017439
Condition,oov_recoverable,GSM4568958,Hypertrophic scar,D017439
Condition,oov_recoverable,GSM4568959,Hypertrophic scar,D017439
Condition,oov_recoverable,GSM4568960,Hypertrophic scar,D017439
Condition,oov_recoverable,GSM4568961,Hypertrophic scar,D017439
Condition,oov_recoverable,GSM4568962,Hypertrophic scar,D017439
Condition,oov_recoverable,GSM1975015,Brain tumor,D001932
Condition,oov_recoverable,GSM887714,medullary_carcinoma,D018276
Condition,value_no_concept,GSM555578,Mock,Mock
Condition,value_no_concept,GSM555579,Mock,Mock
Condition,value_no_concept,GSM555580,Mock,Mock
Condition,value_no_concept,GSM555581,Mock,Mock
Condition,value_no_concept,GSM555582,Mock,Mock
Condition,value_no_concept,GSM1695211,Naive,Naive
Condition,value_no_concept,GSM1695212,Naive,Naive
