column,acronym,samples,resolved,target,id
Condition,NSCLC,16375,yes,"Carcinoma, Non-Small-Cell Lung",D002289
Condition,SLE,4683,yes,"Lupus Erythematosus, Systemic",D008180
Condition,AML,3494,yes,"Leukemia, Myeloid, Acute",D015470
Condition,CLL,1836,yes,"Leukemia, Lymphocytic, Chronic, B-Cell",D015451
Condition,GBM,1038,yes,Glioblastoma,D005909
Condition,DLBCL,1002,yes,"Lymphoma, Large B-Cell, Diffuse",D016403
Condition,MDS,885,yes,Myelodysplastic Syndromes,D009190
Condition,CD,751,yes,Crohn Disease,D003424
Condition,SIV,677,no,SIV,ART-C-00181
Condition,ABMR,676,no,antibody-mediated rejection,ART-C-00008
Condition,AD,647,yes,Alzheimer Disease,D000544
Condition,RRMS,566,yes,"Multiple Sclerosis, Relapsing-Remitting",D020529
Condition,UC,556,yes,"Colitis, Ulcerative",D003093
Condition,Obese,539,no,Obese,ART-C-00026
Condition,HC,539,no,Not Specified,
Condition,RSV,503,yes,Respiratory Syncytial Virus Infections,D018357
Condition,IPF,478,yes,Idiopathic Pulmonary Fibrosis,D054990
Condition,BP,470,yes,Pain,D010146
Condition,HNSCC,383,yes,Squamous Cell Carcinoma of Head and Neck,D000077195
Condition,MDD,376,yes,Major Depressive Disorder,D003865
Condition,ALS,344,yes,Amyotrophic Lateral Sclerosis,D000690
Condition,HCC,322,yes,"Carcinoma, Hepatocellular",D006528
Condition,NASH,321,yes,Non-alcoholic Fatty Liver Disease,D065626
Condition,RA,320,yes,"Arthritis, Rheumatoid",D001172
Condition,SZA,301,no,SZA,ART-C-00098
Condition,OA,268,no,OA,ART-C-00024
Condition,T1D,267,yes,"Diabetes Mellitus, Type 1",D003922
Condition,TCMR,255,yes,"Hypersensitivity, Delayed",D006968
Condition,Mock,254,no,Mock,
Condition,SCD,248,yes,"Anemia, Sickle Cell",D000755
Condition,Colon,245,yes,"Diverticulum, Colon",D004241
Condition,HD,244,no,HD,ART-C-00096
Condition,MGUS,243,yes,Multiple Myeloma,D009101
Condition,ASD,241,yes,Autism Spectrum Disorder,D000067877
Condition,H1N1,232,yes,"Influenza, Human",D007251
Condition,ccRCC,232,yes,"Carcinoma, Renal Cell",D002292
Condition,SSc,228,yes,"Scleroderma, Systemic",D012595
Condition,HCV,227,yes,Hepatitis C,D006526
Condition,SZ,215,yes,Schizophrenia,D012559
Condition,Other,214,no,Other,ART-C-00001
Condition,LPR,210,no,LPR,ART-C-00225
Condition,MI,206,yes,Myocardial Infarction,D009203
Condition,CRC,198,yes,Colorectal Neoplasms,D015179
Condition,BP1,193,yes,Bipolar Disorder,D001714
Condition,SJIA,184,yes,"Arthritis, Juvenile",D001171
Condition,SCLC,180,yes,Small Cell Lung Carcinoma,D055752
Condition,CHF,176,yes,Heart Failure,D006333
Condition,TNBC,173,yes,Triple Negative Breast Neoplasms,D064726
Condition,sPTD,166,yes,Premature Birth,D047928
Condition,JIA,164,yes,"Arthritis, Juvenile",D001171
Condition,Case,163,no,CASE,ART-C-00104
Condition,CIS,159,yes,Syndrome,D013577
Condition,IPD,157,yes,Parkinson Disease,D010300
Condition,CML,143,yes,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",D015464
Condition,PCOS,135,yes,Polycystic Ovary Syndrome,D011085
