screen,gsm,status
sexcond,GSM1566954,EXEMPT_germ_cell_neoplasm
sexcond,GSM1566955,EXEMPT_germ_cell_neoplasm
sexcond,GSM1566956,EXEMPT_germ_cell_neoplasm
sexcond,GSM1566957,EXEMPT_germ_cell_neoplasm
sexcond,GSM1818303,EXEMPT_germ_cell_neoplasm
sexcond,GSM1818349,EXEMPT_germ_cell_neoplasm
sexcond,GSM1944936,EXEMPT_fetal_material
sexcond,GSM1944939,EXEMPT_fetal_material
sexcond,GSM1944944,EXEMPT_fetal_material
sexcond,GSM1944950,EXEMPT_fetal_material
sexcond,GSM2327319,GENUINE
sexcond,GSM2355327,EXEMPT_fetal_material
sexcond,GSM2355415,EXEMPT_fetal_material
sexcond,GSM2355422,EXEMPT_fetal_material
sexcond,GSM2598211,EXEMPT_germ_cell_neoplasm
sexcond,GSM2598212,EXEMPT_germ_cell_neoplasm
sexcond,GSM2598213,EXEMPT_germ_cell_neoplasm
sexcond,GSM2598214,EXEMPT_germ_cell_neoplasm
sexcond,GSM2598215,EXEMPT_germ_cell_neoplasm
sexcond,GSM2598216,EXEMPT_germ_cell_neoplasm
sexcond,GSM271818,EXEMPT_germ_cell_neoplasm
sexcond,GSM271829,EXEMPT_germ_cell_neoplasm
sexcond,GSM271836,EXEMPT_germ_cell_neoplasm
sexcond,GSM868002,EXEMPT_germ_cell_neoplasm
sexcond,GSM868003,EXEMPT_germ_cell_neoplasm
sexcond,GSM868004,EXEMPT_germ_cell_neoplasm
sexcond,GSM868005,EXEMPT_germ_cell_neoplasm
sexcond,GSM868006,EXEMPT_germ_cell_neoplasm
