item,field,raw_value,assigned_id,instances
1,Condition,HER2 positive metastatic breast cancer,OOV-C-5D29D31894,59
2,Tissue,B-cell chronic lymphocytic leukemia (B-CLL) cells,OOV-T-56975C82AD,269
3,Treatment,oral cs; hcq,OOV-X-0970E34211,106
4,Condition,Rhinovirus infection (hRV),OOV-C-80B636970F,91
5,Treatment,GDC-0941 0.12µM,OOV-X-557F735AD2,67
6,Condition,ALCL,ART-C-00270,55
7,Condition,Normal liver,OOV-C-A74669F132,52
8,Treatment,brivanib 0.04µM,OOV-X-A847C1FDC1,56
9,Condition,Vaccinee,OOV-C-D33E81D15B,92
10,Condition,lesional,OOV-C-03181D8656,290
11,Treatment,CP466722 3.33µM,OOV-X-02695609F2,55
12,Tissue,primary Rb tissue,OOV-T-3E46FF58C7,76
13,Condition,CLL,ART-C-00279,1836
14,Treatment,linifanib 3.33µM,OOV-X-8E95943374,73
15,Tissue,EBV-transformed lymphoblastoid cells,OOV-T-647918EC36,172
16,Treatment,PD-173074 3.33µM,OOV-X-5EC1518559,73
17,Treatment,TWS-119 0.04µM,OOV-X-B6CBDA1502,57
18,Treatment,7 days prior to vaccination (day-7),OOV-X-0F2F1B9917,52
19,Tissue,Endobronchial biopsy,OOV-T-A7B8C6EC2D,60
20,Treatment,olaparib 3.33µM,OOV-X-25961F8FFD,77
21,Treatment,palbociclib 0.04µM,OOV-X-EFB9F22E5A,74
22,Treatment,AZD-5438 10µM,OOV-X-A43DA750DF,68
23,Treatment,geldanamycin_1000nM,OOV-X-73317CD702,72
24,Condition,cognitively intact,OOV-C-BB52CF5F06,173
25,Condition,healthy controls,OOV-C-CD7646BCCB,210
26,Treatment,SAR-245408 0.12µM,OOV-X-E84A272FE0,57
27,Treatment,TACE,ART-X-26547,147
28,Condition,Healthy controls,OOV-C-CD7646BCCB,92
29,Condition,Smouldering,OOV-C-288AA2DB3E,203
30,Tissue,PBL,ART-T-00419,809
31,Treatment,RD,ART-X-06562,99
32,Treatment,BX-912 3.33µM,OOV-X-AEA1B7EE8A,57
33,Treatment,BIX-01294 10µM,OOV-X-69784465CF,53
34,Treatment,withaferin-a 3.33µM,OOV-X-DC4A3531E5,133
35,Treatment,RPS6; 2µL,OOV-X-6FF07AA407,54
36,Treatment,YM-201636 0.04µM,OOV-X-9ADC7A5A46,53
