item,field,raw_value,assigned_id,instances
1,Tissue,HUC1,ART-T-00101,2
2,Treatment,pyrazolanthrone 0.12µM,OOV-X-115A0DA3DE,38
3,Tissue,human-derived melanoma cells,OOV-T-FEB3936798,17
4,Tissue,Acute Lymphoblastic Leukemia cells (>90% blasts),OOV-T-0DB4BAF1A4,10
5,Treatment,"rKGF (10 ng/ml, 24h)",OOV-X-E3DC639CD8,3
6,Condition,ITGA3 mutation,OOV-C-BFF70CCF1C,1
7,Treatment,RAF1 transfected,OOV-X-60EB8AFD71,5
8,Treatment,cp-52706,OOV-X-F828326FD5,1
9,Treatment,Palbociclib and PD0325901,OOV-X-A6A133ED07,3
10,Condition,primary prostate cancer; T2N0; Gleason Score: 9,OOV-C-2EF664BEA1,7
11,Treatment,cp-59454,OOV-X-06530BEE14,1
12,Condition,head and neck,OOV-C-D289F07922,4
13,Treatment,cp-81787,OOV-X-576ACDD378,1
14,Treatment,cp-51621,OOV-X-6257980438,1
15,Treatment,cp-928,OOV-X-219EB7A5C6,1
16,Treatment,200 nM LX1077,OOV-X-9B63D96607,4
17,Treatment,cp-73554,OOV-X-C0FA2E9B4B,1
18,Treatment,Meal C (1500 kcal),OOV-X-0211CA1D87,13
19,Tissue,Gastrocnemius,OOV-T-963C09C763,9
20,Treatment,cp-71148,OOV-X-42DB79AFAC,1
21,Treatment,EBV infection,OOV-X-1CF559FDE4,3
22,Tissue,Induced cardiomyocyte (reprogrammed cell),OOV-T-B0DAB0DF85,17
23,Treatment,HG-9-91-01 1.11µM,OOV-X-FDB669AEE5,32
24,Tissue,PG cells,OOV-T-AF2B1FA26C,1
25,Treatment,cp-49531,OOV-X-031A68F5D5,1
26,Treatment,NU-7026 10µM,OOV-X-236C948831,36
27,Treatment,21.5571um,OOV-X-50B11BD8A6,1
28,Tissue,Human IRF5,OOV-T-E12A81B0CF,5
29,Treatment,T1D xse00903601 serum,OOV-X-2928E334D3,2
30,Treatment,cp-3639,OOV-X-335C24F514,1
31,Treatment,cp-54119,OOV-X-A241BCB524,1
32,Treatment,rhM-CSF; rhRANKL,OOV-X-0EC56B8661,2
33,Condition,immunotolerance group,OOV-C-36CE5451C9,1
34,Tissue,Breast Cancer Adenomcarcinoma cell line,OOV-T-A71594F18A,1
35,Condition,metastatic SCC,OOV-C-63234CA02B,2
36,Treatment,cp-50742,OOV-X-AE541DF400,1
37,Treatment,IL-1β; Aminaphtone,OOV-X-E8574444A2,9
38,Treatment,BRAFV600E_CRISPR; TGFβ 1,OOV-X-DFCBDCD427,1
39,Condition,senescent passage,OOV-C-1A961B9EDC,2
40,Treatment,cp-79170,OOV-X-5BA7BE7E68,1
41,Treatment,GDC-0941 0.12µM,OOV-X-557F735AD2,67
42,Treatment,cp-50397,OOV-X-D8AEF7FE01,1
43,Condition,MDS/AML,OOV-C-FA1F202D41,5
44,Tissue,CD19+,OOV-T-ED6180CF5B,2
45,Treatment,siRNA targeting FOXC1,OOV-X-631243C359,1
46,Treatment,33.4468um,OOV-X-936A19E5F0,2
47,Treatment,cp-59474,OOV-X-39FBAC731F,1
48,Treatment,cp-54200,OOV-X-92CAB214BE,1
49,Treatment,PD168393 (2 microM); TNF alpha (50 ng/ml),OOV-X-2EF1185F2D,3
50,Treatment,0.670026um,OOV-X-E909D7269B,1
51,Treatment,cp-49169,OOV-X-5831804582,1
52,Treatment,DRVr,ART-X-07076,3
53,Treatment,MIF,ART-X-32689,1
54,Treatment,U87siCT(Knock down control),OOV-X-E86961EBDE,1
55,Treatment,"Asp, Atorva, Lisonopril, metformin, BFZ, COPD inhalers, lansoprazole",OOV-X-BE9D9C39D7,1
56,Treatment,brivanib 0.04µM,OOV-X-A847C1FDC1,56
57,Treatment,cp-81078,OOV-X-05E3C44909,1
58,Condition,mild BPD,OOV-C-3DCA0C447A,34
59,Treatment,SIV_ARM_sc_wk2,OOV-X-A8941B2CEA,2
60,Treatment,empty vector control LXIDN,OOV-X-97FA474C8F,3
61,Treatment,bl-348,OOV-X-4C4A2B65C8,1
62,Treatment,high miR-146a,OOV-X-09B75660A8,3
63,Treatment,cp-34501,OOV-X-143FA152F4,1
64,Treatment,DLE226A,OOV-X-05152F9CD5,1
65,Treatment,LPS RESPONSE: LOW,OOV-X-464D94ECD0,3
66,Treatment,KGF PRB11914 (HGU133P),OOV-X-5EC3ABD915,1
67,Tissue,brain tumor stem cell-like BTSC233,OOV-T-595B4726E6,4
68,Tissue,YDFR.CB3,OOV-T-81C06DE76C,2
69,Treatment,HD-CAV-2,OOV-X-95ECBDF243,12
70,Condition,Vaccinee,OOV-C-D33E81D15B,92
71,Treatment,TN14_CA12_M12 serum,OOV-X-99054F2B9F,1
72,Treatment,ShLSD1 #2,OOV-X-1766A655C6,2
73,Tissue,cell line: CORL-23/CPR,OOV-T-FE030827F0,1
74,Treatment,cp-81626,OOV-X-A74DCC7243,1
75,Treatment,cp-80651,OOV-X-905F5A7B5E,1
76,Condition,NSC-Squamous,OOV-C-87804136C7,2
77,Tissue,adjacent normal tissues,OOV-T-D11C2B606E,42
78,Treatment,0.1 µg/ml Dox,OOV-X-A2D986F328,2
79,Treatment,DCAf2for6h,OOV-X-7A299091FC,1
80,Treatment,cp-3978,OOV-X-CEB727D5B1,1
81,Treatment,p181a inhibitor,OOV-X-844728B59E,3
82,Tissue,Ulcer,ART-T-02740,14
83,Treatment,cp-4635,OOV-X-E4FF460B62,1
84,Condition,Oncocytic carcinoma,OOV-C-008AF41B2B,4
85,Treatment,CDK5 siRNA knocked down,OOV-X-70A9EC5397,1
86,Tissue,NGP neuroblastoma cells,OOV-T-0B61617452,31
87,Treatment,cp-3795,OOV-X-0494BF378E,1
88,Treatment,mtx.ir_days: 80,OOV-X-A5C8F5D2B4,1
89,Condition,Pre-menopause,OOV-C-C2F97D663B,18
90,Tissue,ic11,ART-T-01539,1
91,Tissue,primary Rb tissue,OOV-T-3E46FF58C7,76
92,Treatment,cp-79067,OOV-X-964BCA89F7,1
93,Treatment,BUFLOMEDIL HYDROCHLORIDE 1_uM,OOV-X-FDEA1AFB76,28
94,Condition,BRCA1mut/+,OOV-C-29E037FABA,4
95,Treatment,cp-5131,OOV-X-C96138653A,1
96,Treatment,flight; nonsmoker,OOV-X-339EE8FA96,20
97,Treatment,EDI3 siRNA,OOV-X-4C4919B1A5,9
98,Treatment,cp-69943,OOV-X-64C10B1685,1
99,Treatment,ARID1A-knockout,OOV-X-B9C146A081,2
100,Treatment,cp-79041,OOV-X-5D16B5304C,1
101,Treatment,siRNA against FOXM1,OOV-X-8BE8C567FD,2
102,Treatment,TN14_PL10_M12 serum,OOV-X-C66328B272,1
103,Condition,Short Sleep,OOV-C-B33BE92CA3,2
104,Treatment,cp-32778,OOV-X-3F999B89EE,1
105,Treatment,DLM,ART-X-05649,6
106,Treatment,wild type KRAS,OOV-X-6B1E049CE1,3
107,Tissue,human umbilical cord blood CD34+CD45+ cells,OOV-T-BBDD0D9867,2
108,Tissue,fetal hindbrain,OOV-T-341117A4B6,2
109,Treatment,cp-49660,OOV-X-291C46A988,1
110,Treatment,bl-416,OOV-X-188D47F026,1
111,Treatment,submerged in nutrient media,OOV-X-08F79D37F3,1
112,Treatment,IC90 of R547,OOV-X-D8150DE23B,26
113,Treatment,PD-0325901; 0.37µM,OOV-X-B4CD57DF30,8
114,Treatment,"live-attenuated YFV-17D, 10^6 PFUs",OOV-X-954FE3F42F,4
115,Treatment,FOXD1,ART-X-01722,2
116,Treatment,JAK2V617F+ genotype,OOV-X-CC3354EC07,13
117,Treatment,cp-61314,OOV-X-B78B8533C4,1
118,Treatment,1.28626um,OOV-X-8E07F2898D,1
119,Tissue,AC16,ART-T-00657,15
120,Tissue,normal terminal bronchiolar epithelium,OOV-T-5DB690DAB9,10
121,Treatment,cocultured with 218TGpp fibroblasts transfected with control mimic,OOV-X-4FA00E3E2C,1
122,Condition,PE; chronic maternal hypertension; hellp,OOV-C-BD9CD03230,1
123,Treatment,erufosine,OOV-X-6E3355DFD5,3
124,Treatment,TWS-119 0.04µM,OOV-X-B6CBDA1502,57
125,Treatment,7 days prior to vaccination (day-7),OOV-X-0F2F1B9917,52
