item,field,raw_value,assigned_id,instances,verdict,matched_id
1,Treatment,BafA,ART-X-26741,3,appropriate,
2,Treatment,TG,ART-X-29262,8,appropriate,
3,Treatment,FECH siRNA + 5-ALA,OOV-X-966D7A09E6,3,appropriate,
4,Treatment,1ng/ml LPS,OOV-X-985793487D,3,appropriate,
5,Treatment,cp-3856,OOV-X-2E46757CCA,1,appropriate,
6,Condition,infected with KY/136 (pdmH1N1),OOV-C-99E64C9B0B,3,inappropriate,D007251
7,Condition,activated metaphase-2 oocyte,OOV-C-BD0E094E01,4,appropriate,
8,Treatment,MLN0128,OOV-X-4302872BE4,2,appropriate,
9,Treatment,empty vector transfection; DMSO,OOV-X-9631D33913,8,appropriate,
10,Treatment,MAP8 backbone; peptide: GR,OOV-X-C46C7195AE,1,appropriate,
11,Condition,psoriatic patient; lesional scalp sample,OOV-C-6296E4F0DE,3,inappropriate,D011565
12,Treatment,T2D donors,OOV-X-CE8BFCDF85,2,appropriate,
13,Treatment,DCC-2036 10µM,OOV-X-F644D53058,31,appropriate,
14,Treatment,scratched,OOV-X-803D48E9D8,20,appropriate,
15,Condition,Dust Mite Atopic Patch Skin,OOV-C-1538160F65,10,inappropriate,D003876
16,Treatment,Vata-Pitta prakriti,OOV-X-FF1E9033FD,10,appropriate,
17,Tissue,primary human brain microvascular endothelial cells,OOV-T-71F360D6A6,6,inappropriate,D042783
18,Treatment,PRO023POST plasma,OOV-X-2AA6D81ECA,1,appropriate,
19,Tissue,Ewing's sarcoma cell line; SK-N-MC,OOV-T-CF3FBD08F6,1,inappropriate,CVCL_0530
20,Treatment,cp-50198,OOV-X-825D398698,1,appropriate,
21,Condition,colon cancer metastasis (liver),OOV-C-E413104254,27,inappropriate,D015179
22,Treatment,endo_4h; endotoxemia,OOV-X-1559766E54,5,appropriate,
23,Treatment,5.36633um,OOV-X-267F738855,1,appropriate,
24,Tissue,MoDC,OOV-T-347A06E124,2,inappropriate,D003713
25,Treatment,preterm labor,OOV-X-AEC4BE016F,5,appropriate,
26,Condition,"Adenocarcinoma of breast, ductal; tumor grade: G3; mininal stage grouping: IIA; t (extent of primary tumor): T2; n (lymph node metastasis): N0; er: 1; pgr: 1; dfs-month: 12; dfs-event: 0; distant metastasis: 0; breast tumor",OOV-C-A49CACD407,1,inappropriate,D018270
27,Tissue,B-cell chronic lymphocytic leukemia (B-CLL) cells,OOV-T-56975C82AD,269,appropriate,
28,Condition,Renal clear cell; Brain (metastatic site),OOV-C-88E1762053,1,inappropriate,D002292
29,Treatment,cp-74190,OOV-X-9894AA1173,1,appropriate,
30,Treatment,irradiated with 48 Gy,OOV-X-77E9C72C8A,1,appropriate,
31,Condition,Megakaryopoietic M_3,OOV-C-A780369AE8,1,appropriate,
32,Condition,preeclamptic pregnancies,OOV-C-1DF8EE703D,3,inappropriate,D011225
33,Condition,healthy donors; Exposed to Brugia malayi,OOV-C-9F3BFE40FD,1,appropriate,
34,Treatment,GTF2F2 siRNA knocked down,OOV-X-C69BAD0509,1,appropriate,
35,Treatment,GNA12,OOV-X-93BF771C6E,1,appropriate,
36,Condition,ccRCC; G3; T2N0M0,OOV-C-A5D889E668,2,inappropriate,D002292
37,Condition,Family history positive - 1 parent,OOV-C-37466D620F,13,appropriate,
38,Treatment,siRNA Smc3; Estrogen,OOV-X-6501DCE3BA,3,appropriate,
39,Treatment,Neu1; GMCSF,OOV-X-F240050C39,1,appropriate,
40,Condition,HIV-1 infected; Latent,OOV-C-9AE034E857,25,inappropriate,D015658
41,Treatment,cp-80698,OOV-X-4B2CA17F7F,1,appropriate,
42,Condition,AML subtypes: M5,OOV-C-FDE091898F,2,inappropriate,D015470
43,Condition,ALCL,ART-C-00270,55,inappropriate,D017728
44,Condition,Normal liver,OOV-C-A74669F132,52,appropriate,
45,Treatment,10 μM symplostatin 5; 100 nM elastase,OOV-X-B49D6AA169,2,appropriate,
46,Tissue,B-ALL-94,OOV-T-79EFFC6AC9,2,indeterminate,
47,Treatment,PEO1R_SI; MI-3,OOV-X-29B8C89FB1,1,appropriate,
48,Treatment,Before 12 weeks of exercise,OOV-X-E2CC8B7668,1,appropriate,
49,Condition,Lower IQ,OOV-C-FBE589D825,17,appropriate,
50,Condition,fulvestrant resistant; ER+ breast cancer,OOV-C-28EA05BDD7,9,inappropriate,D001943
51,Treatment,smoker; 30-day mean pm2.5 exposure level: 12.3405,OOV-X-0F7D3F0468,2,appropriate,
52,Treatment,100 µM 4sU,OOV-X-D1AA41A97E,9,appropriate,
53,Treatment,30ng HGF,OOV-X-438EDAF0FE,4,appropriate,
54,Condition,peripheral blood tumor,OOV-C-BABD49CEC5,41,appropriate,
55,Condition,normal brain (occipital lobe),OOV-C-5C26AB123E,1,appropriate,
56,Treatment,cp-33181,OOV-X-4F27D25659,1,appropriate,
57,Treatment,Roundup (1 ppm G),OOV-X-15AF44BCDE,3,appropriate,
58,Tissue,ossified ligament,OOV-T-235F5547B3,4,inappropriate,D008022
59,Treatment,cp-80915,OOV-X-FB0030444B,1,appropriate,
60,Tissue,CD19+ B cell,OOV-T-52720BC74F,10,inappropriate,D001402
61,Treatment,cp-60418,OOV-X-DBCE45AF24,1,appropriate,
62,Treatment,2ng/ml TGFb; scrambled siRNA,OOV-X-AB08073E11,1,appropriate,
63,Tissue,primary (achromic) cutaneous tumor,OOV-T-62C8D0855F,1,appropriate,
64,Treatment,0.3 ug/ml equi-nicotine of WS-CM for 3 hours,OOV-X-B4A748C5F1,4,appropriate,
65,Treatment,GSK-J2 0.12µM,OOV-X-C29600EBDB,38,appropriate,
66,Treatment,95.4319um,OOV-X-97E5916180,2,appropriate,
67,Condition,systemically healthy,OOV-C-B37D4EB692,43,appropriate,
68,Condition,cT4bN0M0; pT2N0,OOV-C-8E42E77C6E,1,appropriate,
69,Treatment,5.14625um,OOV-X-46973E8D7B,1,appropriate,
70,Tissue,brain glioblastoma tumor,OOV-T-9364BADF5C,16,appropriate,
71,Treatment,cp-39927,OOV-X-42240D9744,1,appropriate,
72,Treatment,cp-50082,OOV-X-3EC0BBD698,1,appropriate,
73,Condition,lesional,OOV-C-03181D8656,290,appropriate,
74,Tissue,CLL-B cells (CLL43),OOV-T-0484FDBA41,1,appropriate,
75,Treatment,AIDA_PL04_M1 serum,OOV-X-13D73E813E,1,appropriate,
76,Tissue,chronic lymphocytic leukemia cell,OOV-T-181709FE3E,2,appropriate,
77,Condition,Normal_DNA_16764,OOV-C-B73C8C8E05,1,appropriate,
78,Treatment,cp-53363,OOV-X-2832B84466,1,appropriate,
79,Tissue,cervical carcinoma,OOV-T-1D337B9E82,6,appropriate,
80,Condition,non-hodgkin’s lymphoma,OOV-C-22F19A9CC0,2,inappropriate,D008228
81,Condition,moderate BPD; ROP not requiring treatment,OOV-C-BF6B377410,5,inappropriate,D001997
82,Condition,SIVmac239,OOV-C-CEE26A870C,5,appropriate,
83,Tissue,cDC1 (BDCA3+ DC),OOV-T-50ACEEB4D2,19,inappropriate,D003713
84,Treatment,HDAC8 inhibitor PCI-34051 (4µM),OOV-X-ACBD4845A1,3,appropriate,
85,Treatment,cp-50431,OOV-X-AA5CFB9F8C,1,appropriate,
86,Tissue,Burkitt lymphoma,OOV-T-370495C2EA,16,appropriate,
87,Treatment,CP466722 3.33µM,OOV-X-02695609F2,55,appropriate,
88,Treatment,cp-69832,OOV-X-D2ED61FCAD,1,appropriate,
89,Condition,generalized diffuse histiocytic lymphoma,OOV-C-786A5DEC8D,1,inappropriate,D016403
90,Tissue,carcinoma-associated fibroblast liver metastasis,OOV-T-3D364761B4,11,inappropriate,D000072645
91,Tissue,Neurosphere (NS),OOV-T-A16EE1B34A,4,appropriate,
92,Treatment,PURPL KO,OOV-X-1228457B73,3,appropriate,
93,Condition,AML; FAB M1; cytogenetic poor risk,OOV-C-5D071F136D,1,inappropriate,D015470
94,Treatment,pH 7.5; 21% oxygen,OOV-X-AE483CFE30,1,appropriate,
95,Tissue,Large cell carcinoma,OOV-T-C84F18C0B7,6,appropriate,
