gsm,gse,raw_Tissue,matched_cellline,cvcl,cellosaurus_donor_sex,extracted_Sex
GSM2177032,GSE81891,R4 iPSC line,NB4-R4,CVCL_VV82,Female,Male
GSM2177034,GSE81891,S1 iPSC line,HMT-3522 S1,CVCL_2499,Female,Male
GSM3095876,GSE113077,PANC-1,PANC-1,CVCL_0480,Male,Female
GSM3095877,GSE113077,PANC-1 tumor,PANC-1,CVCL_0480,Male,Female
GSM3095878,GSE113077,PANC-1,PANC-1,CVCL_0480,Male,Female
GSM3095879,GSE113077,PANC-1,PANC-1,CVCL_0480,Male,Female
GSM3095880,GSE113077,PANC-1 tumor,PANC-1,CVCL_0480,Male,Female
GSM3095881,GSE113077,PANC-1 tumor,PANC-1,CVCL_0480,Male,Female
GSM3095882,GSE113077,PANC-1,PANC-1,CVCL_0480,Male,Female
GSM3095883,GSE113077,PANC-1 tumor,PANC-1,CVCL_0480,Male,Female
GSM3095884,GSE113077,PANC-1,PANC-1,CVCL_0480,Male,Female
GSM3095885,GSE113077,PANC-1,PANC-1,CVCL_0480,Male,Female
GSM3095886,GSE113077,PANC-1,PANC-1,CVCL_0480,Male,Female
GSM3095887,GSE113077,PANC-1 tumor,PANC-1,CVCL_0480,Male,Female
GSM3095888,GSE113077,PANC-1,PANC-1,CVCL_0480,Male,Female
GSM3095889,GSE113077,PANC-1 tumor,PANC-1,CVCL_0480,Male,Female
GSM3095890,GSE113077,PANC-1 tumor,PANC-1,CVCL_0480,Male,Female
GSM3095891,GSE113077,PANC-1,PANC-1,CVCL_0480,Male,Female
GSM3095892,GSE113077,PANC-1 tumor,PANC-1,CVCL_0480,Male,Female
GSM3095893,GSE113077,PANC-1 tumor,PANC-1,CVCL_0480,Male,Female
GSM3095894,GSE113077,PANC-1 tumor,PANC-1,CVCL_0480,Male,Female
GSM3095895,GSE113077,PANC-1,PANC-1,CVCL_0480,Male,Female
GSM3095896,GSE113077,PANC-1 tumor,PANC-1,CVCL_0480,Male,Female
GSM3095897,GSE113077,PANC-1 tumor,PANC-1,CVCL_0480,Male,Female
GSM3095898,GSE113077,PANC-1 tumor,PANC-1,CVCL_0480,Male,Female
GSM3095899,GSE113077,PANC-1 tumor,PANC-1,CVCL_0480,Male,Female
GSM3347669,GSE118790,cell line,LoVo,CVCL_0399,Male,Female
GSM3347671,GSE118790,cell line,LoVo,CVCL_0399,Male,Female
GSM3347673,GSE118790,cell line,LoVo,CVCL_0399,Male,Female
GSM3347674,GSE118790,cell line,LoVo,CVCL_0399,Male,Female
GSM3347676,GSE118790,cell line,LoVo,CVCL_0399,Male,Female
GSM2837233,GSE106403,HPC0A07/03C,HPC0A07,CVCL_9T02,Female,Male
GSM2837239,GSE106403,HPC0A07/03C,HPC0A07,CVCL_9T02,Female,Male
GSM2837243,GSE106403,HPC0A07/03C,HPC0A07,CVCL_9T02,Female,Male
GSM2837245,GSE106403,HPC0A07/03C,HPC0A07,CVCL_9T02,Female,Male
GSM995481,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Male,Female
GSM995482,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Male,Female
GSM995483,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Male,Female
GSM995484,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Male,Female
GSM995485,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Male,Female
GSM995486,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Male,Female
GSM995487,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Male,Female
GSM995488,GSE40516,Human alveolar epithelial type II (AT2) cells,R-3327-AT-2,CVCL_L303,Male,Female
