gsm,gse,raw_Tissue,matched_cellline,cvcl,cellosaurus_organism
GSM1677218,GSE68624,H1 cell line,H-1,CVCL_N541,Mus musculus
GSM1677219,GSE68624,H1 cell line,H-1,CVCL_N541,Mus musculus
GSM1677220,GSE68624,H1 cell line,H-1,CVCL_N541,Mus musculus
GSM1677221,GSE68624,H1 cell line,H-1,CVCL_N541,Mus musculus
GSM1677222,GSE68624,H1 cell line,H-1,CVCL_N541,Mus musculus
GSM1677223,GSE68624,H1 cell line,H-1,CVCL_N541,Mus musculus
GSM1677224,GSE68624,H1 cell line,H-1,CVCL_N541,Mus musculus
GSM1677225,GSE68624,H1 cell line,H-1,CVCL_N541,Mus musculus
GSM1677226,GSE68624,H1 cell line,H-1,CVCL_N541,Mus musculus
GSM1677227,GSE68624,H1 cell line,H-1,CVCL_N541,Mus musculus
GSM1677228,GSE68624,H1 cell line,H-1,CVCL_N541,Mus musculus
GSM1677229,GSE68624,H1 cell line,H-1,CVCL_N541,Mus musculus
GSM1677230,GSE68624,H1 cell line,H-1,CVCL_N541,Mus musculus
GSM1677231,GSE68624,H1 cell line,H-1,CVCL_N541,Mus musculus
GSM1677232,GSE68624,H1 cell line,H-1,CVCL_N541,Mus musculus
GSM1677233,GSE68624,H1 cell line,H-1,CVCL_N541,Mus musculus
GSM1677234,GSE68624,H1 cell line,H-1,CVCL_N541,Mus musculus
GSM1677235,GSE68624,H1 cell line,H-1,CVCL_N541,Mus musculus
GSM1677236,GSE68624,H1 cell line,H-1,CVCL_N541,Mus musculus
GSM1677237,GSE68624,H1 cell line,H-1,CVCL_N541,Mus musculus
GSM1677238,GSE68624,H1 cell line,H-1,CVCL_N541,Mus musculus
GSM1677239,GSE68624,H1 cell line,H-1,CVCL_N541,Mus musculus
GSM1677240,GSE68624,H1 cell line,H-1,CVCL_N541,Mus musculus
GSM1677241,GSE68624,H1 cell line,H-1,CVCL_N541,Mus musculus
GSM5935627,GSE198006,Human embryonic stem cell H1,H-1,CVCL_N541,Mus musculus
GSM5935628,GSE198006,Human embryonic stem cell H1,H-1,CVCL_N541,Mus musculus
GSM5935629,GSE198006,Human embryonic stem cell H1,H-1,CVCL_N541,Mus musculus
GSM5935630,GSE198006,Human embryonic stem cell H1,H-1,CVCL_N541,Mus musculus
GSM5935631,GSE198006,Human embryonic stem cell H1,H-1,CVCL_N541,Mus musculus
GSM5935632,GSE198006,Human embryonic stem cell H1,H-1,CVCL_N541,Mus musculus
GSM5935633,GSE198006,Human embryonic stem cell H1,H-1,CVCL_N541,Mus musculus
GSM5935634,GSE198006,Human embryonic stem cell H1,H-1,CVCL_N541,Mus musculus
GSM5935635,GSE198006,Human embryonic stem cell H1,H-1,CVCL_N541,Mus musculus
GSM5935636,GSE198006,Human embryonic stem cell H1,H-1,CVCL_N541,Mus musculus
GSM5935637,GSE198006,Human embryonic stem cell H1,H-1,CVCL_N541,Mus musculus
GSM5935638,GSE198006,Human embryonic stem cell H1,H-1,CVCL_N541,Mus musculus
GSM5935639,GSE198006,Human embryonic stem cell H1,H-1,CVCL_N541,Mus musculus
GSM5935640,GSE198006,Human embryonic stem cell H1,H-1,CVCL_N541,Mus musculus
GSM5935641,GSE198006,Human embryonic stem cell H1,H-1,CVCL_N541,Mus musculus
GSM5935642,GSE198006,Human embryonic stem cell H1,H-1,CVCL_N541,Mus musculus
