gsm,gse,raw_Tissue,final_Tissue,final_Tissue_id,final_Sex
GSM2285159,GSE85828,fibroblast from foreskin,Foreskin,D052816,Female
GSM2936837,GSE109302,Prostate,Prostate,D011467,Female
GSM2936838,GSE109302,Prostate,Prostate,D011467,Female
GSM2936839,GSE109302,Prostate,Prostate,D011467,Female
GSM139058,GSE5983,Ovarian tissue,Ovary,D010053,Male
GSM1857864,GSE72220,prostate,Prostate,D011467,Female
GSM1857891,GSE72220,prostate,Prostate,D011467,Female
GSM1857905,GSE72220,prostate,Prostate,D011467,Female
GSM1857934,GSE72220,prostate,Prostate,D011467,Female
GSM1857939,GSE72220,prostate,Prostate,D011467,Female
GSM1857955,GSE72220,prostate,Prostate,D011467,Female
