field,acronym,gse,expansion,id,verified,acronym_attested,how
Tissue,hESCs,GSE45030,Human Embryonic Stem Cells,D000066449,True,False,expansion_in_gse
Tissue,hESCs,GSE69200,Human Embryonic Stem Cells,D000066449,True,False,expansion_in_gse
Tissue,hESCs,GSE141253,Human Embryonic Stem Cells,D000066449,True,False,expansion_in_gse
Tissue,hESCs,GSE52158,Human Embryonic Stem Cells,D000066449,True,False,expansion_in_gse
Tissue,hESCs,GSE75582,Human Embryonic Stem Cells,D000066449,True,False,expansion_in_gse
Tissue,hESCs,GSE30915,Human Embryonic Stem Cells,D000066449,True,False,expansion_in_gse
Tissue,hESCs,GSE45036,Human Embryonic Stem Cells,D000066449,True,False,expansion_in_gse
Tissue,hESCs,GSE36754,Human Embryonic Stem Cells,D000066449,True,False,expansion_in_gse
Tissue,hESCs,GSE69634,Human Embryonic Stem Cells,D000066449,True,False,expansion_in_gse
Tissue,hESCs,GSE63318,Human Embryonic Stem Cells,D000066449,True,False,expansion_in_gse
Tissue,hESCs,GSE147270,Human Embryonic Stem Cells,D000066449,True,False,expansion_in_gse
Tissue,hESCs,GSE62062,H1 hESCs,OOV-T-40C918E1FB,True,False,expansion_tokens_in_gse
Tissue,hESCs,GSE24135,Human Embryonic Stem Cells,D000066449,True,False,expansion_in_gse
Tissue,hESCs,GSE101473,Human Embryonic Stem Cells,D000066449,True,False,expansion_in_gse
Tissue,hESCs,GSE24487,Human Embryonic Stem Cells,D000066449,False,False,unsupported
Tissue,hESCs,GSE43080,Human Embryonic Stem Cells,D000066449,True,False,expansion_in_gse
Tissue,hESCs,GSE53283,Human Embryonic Stem Cells,D000066449,True,False,expansion_in_gse
Tissue,hESCs,GSE39210,Human Embryonic Stem Cells,D000066449,True,False,expansion_in_gse
Tissue,hESCs,GSE21715,Human Embryonic Stem Cells,D000066449,True,False,expansion_in_gse
Tissue,hESCs,GSE34982,Human Embryonic Stem Cells,D000066449,True,False,expansion_in_gse
Tissue,hESCs,GSE15553,Human Embryonic Stem Cells,D000066449,True,False,expansion_in_gse
Tissue,PBMC,GSE145034,"Leukocytes, Mononuclear",D007963,True,False,expansion_in_gse
Tissue,Hep3B,GSE134563,Hep 3B2.1-7,CVCL_0326,False,False,unsupported
Tissue,Hep3B,GSE121362,Hep 3B2.1-7,CVCL_0326,True,False,cellline_acronym_in_gse
Tissue,Hep3B,GSE162860,Hep 3B2.1-7,CVCL_0326,True,False,cellline_acronym_in_gse
Tissue,Hep3B,GSE100017,Hep 3B2.1-7,CVCL_0326,True,False,cellline_acronym_in_gse
Tissue,Hep3B,GSE55692,Hep 3B2.1-7,CVCL_0326,True,False,cellline_acronym_in_gse
Tissue,Hep3B,GSE97169,Hep 3B2.1-7,CVCL_0326,True,False,cellline_acronym_in_gse
Tissue,Hep3B,GSE10289,Hep 3B2.1-7,CVCL_0326,True,False,cellline_acronym_in_gse
Tissue,Hep3B,GSE128846,Hep 3B2.1-7,CVCL_0326,True,False,cellline_acronym_in_gse
Tissue,Hep3B,GSE42416,Hep 3B2.1-7,CVCL_0326,False,False,unsupported
Tissue,Hep3B,GSE178243,Hep 3B2.1-7,CVCL_0326,True,False,cellline_acronym_in_gse
Tissue,Hep3B,GSE99213,Hep 3B2.1-7,CVCL_0326,False,False,unsupported
Tissue,Hep3B,GSE2046,Hep 3B2.1-7,CVCL_0326,True,False,cellline_acronym_in_gse
Tissue,Hep3B,GSE75994,Hep 3B2.1-7,CVCL_0326,True,False,cellline_acronym_in_gse
Tissue,Hep3B,GSE140280,Hep 3B2.1-7,CVCL_0326,True,False,cellline_acronym_in_gse
Tissue,Hep3B,GSE105445,Hep 3B2.1-7,CVCL_0326,True,False,cellline_acronym_in_gse
Tissue,Hep3B,GSE57613,Hep 3B2.1-7,CVCL_0326,True,False,cellline_acronym_in_gse
Tissue,Hep3B,GSE12410,Hep 3B2.1-7,CVCL_0326,True,False,cellline_acronym_in_gse
Tissue,Hep3B,GSE35004,Hep 3B2.1-7,CVCL_0326,True,False,cellline_acronym_in_gse
Tissue,Hep3B,GSE141909,Hep 3B2.1-7,CVCL_0326,True,False,cellline_acronym_in_gse
Tissue,Hep3B,GSE73219,Hep 3B2.1-7,CVCL_0326,True,False,cellline_acronym_in_gse
Tissue,Hep3B,GSE128845,Hep 3B2.1-7,CVCL_0326,True,False,cellline_acronym_in_gse
Tissue,Hep3B,GSE88744,Hep 3B2.1-7,CVCL_0326,False,False,unsupported
Tissue,Hep3B,GSE58892,Hep 3B2.1-7,CVCL_0326,True,False,cellline_acronym_in_gse
Tissue,Hep3B,GSE200861,Hep 3B2.1-7,CVCL_0326,True,False,cellline_acronym_in_gse
Tissue,Hep3B,GSE96792,Hep 3B2.1-7,CVCL_0326,True,False,cellline_acronym_in_gse
Tissue,Hep3B,GSE112788,Hep 3B2.1-7,CVCL_0326,True,False,cellline_acronym_in_gse
