acronym,gse,occurrences,expansion_found_in_study,verdict,mesh_id,mesh_name
HNSqCC,GSE218224,698,Head and neck squamous cell carcinomas,defined in the study and MeSH has it in-branch,D000077195,Squamous Cell Carcinoma of Head and Neck
SIV,GSE80013,656,,not defined in the study's own text,,
BCP-ALL,GSE49031,620,,not defined in the study's own text,,
CD,GSE137680,572,,not defined in the study's own text,,
ABMR,GSE124203,504,antibody-mediated rejection,defined in the study and MeSH has no term for it,,
CNS-PNET,GSE73801,271,,not defined in the study's own text,,
BP,GSE127711,258,,not defined in the study's own text,,
CONTROL,GSE99039,233,,not defined in the study's own text,,
LPR,GSE126581,209,,not defined in the study's own text,,
LESIONAL,GSE133477,202,,not defined in the study's own text,,
H1N1,GSE111368,199,,not defined in the study's own text,,
HC,GSE108497,171,,not defined in the study's own text,,
SZA,GSE127208,142,,not defined in the study's own text,,
CONTROL,GSE8052,134,,not defined in the study's own text,,
SHIV,GSE83702,129,,not defined in the study's own text,,
OFI,GSE63881,128,,not defined in the study's own text,,
HC,GSE111368,127,,not defined in the study's own text,,
IPF/UIP,GSE32537,119,,not defined in the study's own text,,
HTA-2,GSE130991,116,,not defined in the study's own text,,
LS,GSE148346,112,,not defined in the study's own text,,
CONTROL,GSE18123,108,,not defined in the study's own text,,
CONTROL,GSE73378,107,,not defined in the study's own text,,
CN-AML,GSE71014,103,,not defined in the study's own text,,
CTR,GSE122290,99,,not defined in the study's own text,,
HDM,GSE122290,99,,not defined in the study's own text,,
NR,GSE124203,98,,not defined in the study's own text,,
CD,GSE87648,96,,not defined in the study's own text,,
CASE,GSE73378,95,,not defined in the study's own text,,
SGA,GSE47880,91,,not defined in the study's own text,,
CLAD,GSE193150,90,chronic lung allograft dysfunction,defined in the study and MeSH has no term for it,,
OA,GSE236924,89,,not defined in the study's own text,,
B-CLL,GSE2466,87,B-cell chronic lymphocytic leukemia,defined in the study and MeSH has it in-branch,D015451,"Leukemia, Lymphocytic, Chronic, B-Cell"
T-PLL,GSE107397,82,T-cell prolymphocytic leukemia,defined in the study and MeSH has it in-branch,D015461,"Leukemia, Prolymphocytic, T-Cell"
